"Asset ID","Description","Short Description","CYP Template","RSA Template","Parent Object","Related CCTV","Location","Floor","Room","Functional Cat 1","Functional Cat 2","Functional Cat 3","Starting Address","Source Connection","DB Address","Version","modifieddatetime","rsa_device_description","device_reviewed","x_coordinate","y_coordinate","modifieduser","display_maps","x_px_coordinate","y_px_coordinate"
TSC_ESC_0022,Escalator 22 Bank 8 (Basement 2 To Concourse),Esc 22,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-22,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:54.655,Escalator 22 Bank 8 (B1 Basement to B3M Basement Mezzanine),,-5300272905,2407336628,root,true,,
TSC_ESC_0023,Escalator 23 Bank 8 (Basement 2 To Concourse),Esc 23,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-23,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:54.928,Escalator 23 Bank 8 (B1 Basement to B3M Basement Mezzanine),,-5300271185,2407336628,root,true,,
TSC_ESC_0024,Escalator 24 Bank 9 (B2 Basement To B1 Basement),Esc 24,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B2,TSC_B2_ESC-24,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:55.608,Escalator 24 Bank 9 (B1 Basement to B2 Basement),,-5300474025,2407312159,root,true,,
TSC_ESC_0025,Escalator 25 Bank 9 (B2 Basement To B1 Basement),Esc 25,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B2,TSC_B2_ESC-25,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:55.829,Escalator 25 Bank 9 (B1 Basement to B2 Basement),,-5300474025,2407313915,root,true,,
TSC_ESC_0026,Escalator 26 Bank 10 (B2 Basement To B1 Basement),Esc 26,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B2,TSC_B2_ESC-26,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:56.229,Escalator 26 Bank 10 (B1 Basement to B2 Basement),,-5300443074,2407318687,root,true,,
TSC_ESC_0027,Escalator 27 Bank 10 (B2 Basement To B1 Basement),Esc 27,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B2,TSC_B2_ESC-27,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:56.449,Escalator 27 Bank 10 (B1 Basement to B2 Basement),,-5300443074,2407316758,root,true,,
TSC_ESC_0028,Escalator 28 Bank 11 (B2 Basement To B1 Basement),Esc 28,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B2,TSC_B2_ESC-28,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:57.024,Escalator 28 Bank 10 (B1 Basement to B2 Basement),,-5300443074,2407303926,root,true,,
TSC_ESC_0029,Escalator 29 Bank 11 (B2 Basement To B1 Basement),Esc 29,cyppanels_BMSescalator_LR,BMS_ESC,,,TSC,TSC_B2,TSC_B2_ESC-29,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:57.424,Escalator 29 Bank 10 (B1 Basement to B2 Basement),,-5300443074,2407302226,root,true,,
TSC_ESC_0030,Escalator 30 Bank 12 (Concourse To Street),Esc 30,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-30,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:57.634,Escalator 30 Bank 12 (Street to B1 Basement),,-5300474048,2407307060,root,true,,
TSC_ESC_0031,Escalator 31 Bank 12 (Concourse To Street),Esc 31,cyppanels_BMSescalator_RL,BMS_ESC,,,TSC,TSC_B1,TSC_B1_ESC-31,1,1,1,"",28,DB_ESC_HMI,,2025-03-06 10:39:58.020,Escalator 31 Bank 12 (Street to B1 Basement),,-5300474048,2407308760,root,true,,
