"cctv_id","description","location","floor","room","x_coordinate","y_coordinate","z_coordinate","orientation","modifieddatetime","x_px_coordinate","y_px_coordinate"
TSC CAM1084,,TSC,TSC_B1,,-5300320218,2407210156,,,2024-11-20 13:16:41.029,3613,701
TSC CAM1085,,TSC,TSC_B1,,-5300320318,2407210156,,,2024-11-20 13:16:41.029,3475,941
TSC CAM1086,,TSC,TSC_B1,,-5300363115,2407219694,,,2024-11-20 13:16:41.029,4067,977
TSC CAM1088,,TSC,TSC_B1,,-5300364765,2407217401,,,2024-11-20 13:16:41.029,3753,789
TSC CAM1090,,TSC,TSC_B1,,-5300325518,2407218488,,,2024-11-20 13:16:41.029,3993,705
TSC CAM1091,,TSC,TSC_B1,,-5300329398,2407209142,,,2024-11-20 13:16:41.029,4011,791
TSC CAM1092,,TSC,TSC_B1,,-5300324882,2407209817,,,2024-11-20 13:16:41.029,4107,1009
TSC CAM1094,,TSC,TSC_B1,,-5300320200,2407210156,,,2024-11-20 13:16:41.029,4105,1557
TSC CAM1096,,TSC,TSC_B1,,-5300364288,2407217211,,,2024-11-20 13:16:41.029,4589,1385
TSC CAM1097,,TSC,TSC_B1,,-5300355475,2407221090,,,2024-11-20 13:16:41.029,4587,1137
TSC CAM1101,,TSC,TSC_B1,,-5300367252,2407258249,,,2024-11-20 13:16:41.029,7951,3855
TSC CAM1103,,TSC,TSC_B1,,-5300364775,2407258918,,,2024-11-20 13:16:41.029,8155,3061
TSC CAM1105,,TSC,TSC_B1,,-5300357627,2407258915,,,2024-11-20 13:16:41.029,8481,3491
TSC CAM1106,,TSC,TSC_B1,,-5300351190,2407247988,,,2024-11-20 13:16:41.029,8551,3429
TSC CAM1107,,TSC,TSC_B1,,-5300348920,2407246167,,,2024-11-20 13:16:41.029,8485,3597
TSC CAM1108,,TSC,TSC_B1,,-5300351190,2407244987,,,2024-11-20 13:16:41.029,8551,3531
TSC CAM1111,,TSC,TSC_B1,,-5300338037,2407259059,,,2024-11-20 13:16:41.029,9005,3059
TSC CAM1112,,TSC,TSC_B1,,-5300335737,2407259059,,,2024-11-20 13:16:41.029,9009,3125
TSC CAM1114,,TSC,TSC_B1,,-5300363115,2407219694,,,2024-11-20 13:16:41.029,8313,4353
TSC CAM1120,,TSC,TSC_B1,,-5300364765,2407217401,,,2024-11-20 13:16:41.029,9049,4533
TSC CAM1124,,TSC,TSC_B1,,-5300329398,2407209142,,,2024-11-20 13:16:41.029,9359,4749
TSC CAM1129,,TSC,TSC_B1,,-5300464840,2407263062,,,2024-11-20 13:16:41.029,11003,1571
TSC CAM1131,,TSC,TSC_B1,,-5300460293,2407249959,,,2024-11-20 13:16:41.029,11133,199
TSC CAM1132,,TSC,TSC_B1,,-5300320013,2407214886,,,2024-11-20 13:16:41.029,11223,199
TSC CAM1133,,TSC,TSC_B1,,,,,,2024-11-20 13:16:41.029,11375,291
TSC CAM1134,,TSC,TSC_B1,,,,,,2024-11-20 13:16:41.029,11377,931
TSC CAM1564,,TSC,TSC_B1,,-5300450762,2407306461,,,2024-11-20 13:16:41.100,10997,1401
TSC CAM1574,,TSC,TSC_B1,,-5300378036,2407207190,,,2024-11-20 13:16:41.100,7517,4787
TSC CAM1597,,TSC,TSC_B1,,-5300366079,2407295605,,,2024-11-20 13:16:41.100,11151,321
TSC CAM1615,,TSC,TSC_B1,,-5300586411,2407309929,,,2024-11-20 13:16:41.100,3479,1019
TSC CAM1145,,TSC,TSC_B2,,-5300360804,2407279166,,,2024-11-20 13:16:41.029,4349,1561
TSC CAM1149,,TSC,TSC_B2,,-5300363899,2407275637,,,2024-11-20 13:16:41.029,4827,1019
TSC CAM1150,,TSC,TSC_B2,,-5300365590,2407273338,,,2024-11-20 13:16:41.029,5059,1113
TSC CAM1151,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,5053,1423
