"Asset ID","Description","Short Description","RSA Template","Related CCTV","Location","Floor","Room","Source Connection","rsa_device_description","x_coordinate","y_coordinate","display_maps"
TSC-SPE-1141,"B3 CS, CONCOURSE 102-41, TSC-SPE-1141",SPE-1141,FDS_DEVICE,"{""TSC CAM1213"",""TSC CAM1239""}",TSC,TSC_B3,,59,"B3 CS, CONCOURSE 102-41, TSC-SPE-1141",-5300488918,2407318631,true
TSC-SPE-1284,"B3 CS, BOH C'DOR 151-44, TSC-SPE-1284",SPE-1284,FDS_DEVICE,"{""TSC CAM1240""}",TSC,TSC_B3,,59,"B3 CS, BOH C'DOR 151-44, TSC-SPE-1284",-5300457526,2407313361,true
TSC-SPE-1131,"B3 CS, CONCOURSE 103-41, TSC-SPE-1131",SPE-1131,FDS_DEVICE,"{""TSC CAM1226"",""TSC CAM1585"",""TSC CAM1242""}",TSC,TSC_B3,,59,"B3 CS, CONCOURSE 103-41, TSC-SPE-1131",-5300449418,2407303539,true
TSC-SPE-4052,"B4 C, C'DOR 405-4, TSC-SPE-4052",SPE-4052,FDS_DEVICE,"{""TSC CAM1471"",""TSC CAM1474""}",TSC,TSC_B4,,95,"B4 C, C'DOR 405-4, TSC-SPE-4052",-5300299165,2407276845,true
TSC-SPE-1223,"B5 CS, BOH C'DOR 151-41, TSC-SPE-1223",SPE-1223,FDS_DEVICE,"{""TSC CAM1494""}",TSC,TSC_B5,,59,"B5 CS, BOH C'DOR 151-41, TSC-SPE-1223",-5300488615,2407309672,true
TSC-SPE-1184,"B4 CS, C'DOR 405-41, TSC-SPE-1184",SPE-1184,FDS_DEVICE,"{""TSC CAM1310""}",TSC,TSC_B4,,59,"B4 CS, C'DOR 405-41, TSC-SPE-1184",-5300501326,2407317910,true
TSC-SPE-2065,"B2 FS, VERT.TRANSPT 152-21, TSC-SPE-2065",SPE-2065,FDS_DEVICE,"{""TSC CAM1166""}",TSC,TSC_B2,,96,"B2 FS, VERT.TRANSPT 152-21, TSC-SPE-2065",-5300273318,2407309341,true
TSC-SPE-3094,"B2 OSD, CONCOURSE 103-71, TSC-SPE-3094",SPE-3094,FDS_DEVICE,"{""TSC CAM1193""}",TSC,TSC_B2,,97,"B2 OSD, CONCOURSE 103-71, TSC-SPE-3094",-5300315311,2407220253,true
TSC-SPE-3109,"B2 OSD, BOH C'DOR 151-73, TSC-SPE-3109",SPE-3109,FDS_DEVICE,"{""TSC CAM1179""}",TSC,TSC_B2,,97,"B2 OSD, BOH C'DOR 151-73, TSC-SPE-3109",-5300351421,2407249816,true
TSC-SPE-3210,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3210",SPE-3210,FDS_DEVICE,"{""TSC CAM1485""}",TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3210",-5300358933,2407229379,true
TSC-SPE-3219,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3219",SPE-3219,FDS_DEVICE,"{""TSC CAM1483""}",TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-77, TSC-SPE-3219",-5300345437,2407236509,true
TSC-SPE-3234,"B4 OSD, BOH C'DOR 151-76, TSC-SPE-3234",SPE-3234,FDS_DEVICE,"{""TSC CAM1477""}",TSC,TSC_B4,,97,"B4 OSD, BOH C'DOR 151-76, TSC-SPE-3234",-5300358193,2407239304,true
