"Asset ID","Description","Short Description","CYP Template","RSA Template","Parent Object","Related CCTV","Location","Floor","Room","Functional Cat 1","Functional Cat 2","Functional Cat 3","Starting Address","Source Connection","DB Address","Version","modifieddatetime","rsa_device_description","device_reviewed","x_coordinate","y_coordinate","modifieduser","display_maps","x_px_coordinate","y_px_coordinate"
TSC_UPS_0411,Uninterruptible Power Supply,,cyppanels_BMSUPS,BMS_UPS,,,TSC,TSC_B4,TSC_B4_640-41,3,9,25,"",86,DB_UPS_HMI,,2024-10-10 10:38:03.584,Uninterruptible Power Supply,,-5300468718,2407303513,root,true,,
TSC_UPS_0412,Uninterruptible Power Supply,,cyppanels_BMSUPS,BMS_UPS,,,TSC,TSC_B4,TSC_B4_640-42,3,9,25,"",86,DB_UPS_HMI,,2024-10-10 10:38:03.672,Uninterruptible Power Supply,,-5300455163,2407302983,root,true,,
TSC_UPS_0431,Uninterruptible Power Supply,,cyppanels_BMSUPS,BMS_UPS,,,TSC,TSC_B3,TSC_B3M_640-71,3,9,25,"",86,DB_UPS_HMI,,2024-10-10 10:38:03.714,Uninterruptible Power Supply,,-5300351203,2407250184,root,true,,
TSC_UPS_0432,Uninterruptible Power Supply,,cyppanels_BMSUPS,BMS_UPS,,,TSC,TSC_B3,TSC_B3M_640-72,3,9,25,"",86,DB_UPS_HMI,,2024-10-10 10:38:03.766,Uninterruptible Power Supply,,-5300352063,2407233323,root,true,,
