Severity	Alarm Raised	Asset ID	Asset Name	Alarm Description	Acknowledged	By	Cleared	Comments	Location
CAME UNACK High	2024.07.19 08:15:27.919	DMA-Z-7245	ZONE 7245: B1, DMA-BP-01 CONC UNPAID AREA	Smoke or heat detected - fire unconfirmed!				0	AZC
CAME UNACK High	2024.07.19 08:15:12.837	DMA-FIP-0001	Anzac Station FDCIE Panel	Smoke detected! Confirm Station Evac within 5 mins!!				0	AZC
CAME UNACK High	2024.07.19 05:33:43.122	DMA_TEP_0303_04_DS	Tunnel Drainage Pump - Duty Selection	Risk of track flooding!				0	AZC
CAME UNACK High	2024.07.18 13:49:42.673	PKV-W-EED-005	Parkville Platform 1 Zone 1 EED 05	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 13:49:08.671	PKV-W-EED-003	Parkville Platform 1 Zone 1 EED 03	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 13:49:02.672	PKV-W-EED-002	Parkville Platform 1 Zone 1 EED 02	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 13:47:50.672	PKV-W-EED-001	Parkville Platform 1 Zone 1 EED 01	EED Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.18 12:12:58.919	DMA_OFN_0201_02_DS	Over Track Exhaust Fan - East End - Duty Selection	All fans inoperative!				0	AZC
CAME UNACK High	2024.07.18 12:12:30.916	DMA_OFN_0101_02_DS	Over Track Exhaust Fan 01 - West End - Duty Selection	All fans inoperative!				0	AZC
CAME UNACK High	2024.07.18 12:12:29.895	DMA_SSX_0001	TVCS Shaft Smoke Detection System 01	Shaft smoke detection unavailable!				0	SDU
CAME UNACK High	2024.07.17 12:19:58.658	PKV-E-PSD-028	Parkville Platform 2 Zone 3 PSD 28	PSD Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.17 10:18:42.654	PKV-W-PSD-001	Parkville Platform 1 Zone 1 PSD 01	PSD Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.17 10:14:10.653	PKV-W-PSD-002	Parkville Platform 1 Zone 1 PSD 02	PSD Unscheduled Door Opening!				0	PKV
CAME UNACK High	2024.07.17 07:51:51.501	DMA-E-EED-035	Anzac Platform 2 Zone 3 EED 35	EED Unscheduled Door Opening!				0	AZC
CAME UNACK High	2024.07.16 08:52:06.793	SYP-ZONE-0004	Westbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:52:06.730	SYP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:52:06.667	SYP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:52:06.605	SYP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:52:06.543	SKP-ZONE-0004	Westbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:52:06.481	SKP-ZONE-0003	Westbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:52:06.418	SKP-ZONE-0002	Eastbound Detection Zone 2	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:52:06.356	SKP-ZONE-0001	Eastbound Detection Zone 1	TIAS activated! 				0	SDU
CAME UNACK High	2024.07.16 08:51:57.977	PKV_ROL_RNERV_W	West Tunnel RNERV Roller Door	RNERV crane arm extended over tracks!				0	SDU
CAME UNACK High	2024.07.16 08:50:23.741	TSC-W-PED-002	Town Hall Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	THL
CAME UNACK High	2024.07.16 08:50:23.728	TSC-E-PED-002	Town Hall Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	THL
CAME UNACK High	2024.07.16 08:49:59.512	TNC-W-PED-002	State Library Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.07.16 08:49:59.500	TNC-E-PED-002	State Library Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.07.16 08:49:49.276	DMA-W-PED-002	Anzac Platform 1 PED 02	Platform End Door Unscheduled Door Opening!				0	AZC
CAME UNACK High	2024.07.16 08:49:49.263	DMA-E-PED-002	Anzac Platform 2 PED 02	Platform End Door Unscheduled Door Opening!				0	AZC
CAME UNACK High	2024.07.16 08:48:00.340	DMA-W-EED-014	Anzac Platform 1 Zone 1 EED 14	EED Unscheduled Door Opening!				0	AZC
CAME UNACK High	2024.07.16 08:47:59.363	TNC-W-EED-028	State Library Platform 1 Zone 3 EED 28	EED Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.07.16 08:47:59.216	TNC-W-EED-024	State Library Platform 1 Zone 3 EED 24	EED Unscheduled Door Opening!				0	STL
CAME UNACK High	2024.07.16 08:47:58.758	TNC-W-EED-004	State Library Platform 1 Zone 1 EED 04	EED Unscheduled Door Opening!				0	STL
