Time,Asset ID,Asset Name,Type,Event Description,Location,Triggered By
2025.03.06 12:47:25.947,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (Alarm Acknowledged),SDU,kai_longley
2025.03.06 13:11:29.517,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (0),SDU,system
2025.03.06 13:11:29.518,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (1),SDU,system
2025.03.06 13:11:29.976,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (5),SDU,system
2025.03.06 13:11:29.985,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (0),SDU,system
2025.03.06 13:11:30.008,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (1),SDU,system
2025.03.06 13:11:30.060,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (0),SDU,system
2025.03.06 13:13:29.000,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (1),SDU,system
2025.03.06 13:13:29.383,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (0),SDU,system
2025.03.06 13:13:29.520,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (5),SDU,system
2025.03.06 13:13:30.156,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (0),SDU,system
2025.03.06 13:14:32.372,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (1),SDU,system
2025.03.06 13:24:56.027,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (0),SDU,system
2025.03.06 13:24:56.027,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (1),SDU,system
2025.03.06 13:24:56.217,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (1),SDU,system
2025.03.06 13:24:56.223,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (0),SDU,system
2025.03.06 13:27:56.826,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (0),SDU,system
2025.03.06 13:27:56.843,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (1),SDU,system
2025.03.06 13:27:57.491,S_93_3_14713,Traction Section Parkville to State Library section B,STS,Traction Power Status (1),SDU,system
2025.03.06 13:27:57.502,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (0),SDU,system
2025.03.06 13:31:32.000,S_93_3_14713,Traction Section Parkville to State Library section B,ALM,Traction Power Unknown (1),SDU,system
